"","x"
"1","Memorial University of Newfoundland, Newfoundland and Labrador"
"2","University of New Brunswick, New Brunswick"
"3","Concordia University, Quebec"
"4","Université du Québec à Montréal, Quebec"
"5","Brock University, Ontario"
"6","Carleton University, Ontario"
"7","University of Guelph, Ontario"
"8","Ryerson University, Ontario"
"9","University of Waterloo, Ontario"
"10","Wilfrid Laurier University, Ontario"
"11","University of Windsor, Ontario"
"12","York University, Ontario"
"13","University of Regina, Saskatchewan"
"14","Simon Fraser University, British Columbia"
"15","University of Victoria, British Columbia"
