"","x"
"1","Dalhousie University, Nova Scotia"
"2","McGill University, Quebec"
"3","Université de Montréal, Quebec"
"4","Université Laval, Quebec"
"5","Université de Sherbrooke, Quebec"
"6","McMaster University, Ontario"
"7","University of Ottawa-Université d'Ottawa, Ontario"
"8","Queen's University, Ontario"
"9","University of Toronto, Ontario"
"10","Western University, Ontario"
"11","University of Manitoba, Manitoba"
"12","University of Saskatchewan, Saskatchewan"
"13","University of Alberta, Alberta"
"14","University of Calgary, Alberta"
"15","University of British Columbia, British Columbia"
