Field.of.study,Field.of.study.parent
"Total, field of study","Total, field of study"
"Agriculture, agriculture operations and related sciences (except cannabis) [1.c]","Agriculture, agriculture operations and related sciences (except cannabis) [1.c]"
"Agriculture, general [1.00]","Agriculture, agriculture operations and related sciences (except cannabis) [1.c]"
Agricultural business and management [1.01],"Agriculture, agriculture operations and related sciences (except cannabis) [1.c]"
Agricultural production operations [1.03],"Agriculture, agriculture operations and related sciences (except cannabis) [1.c]"
Applied horticulture/horticultural business services (except cannabis) [1.06c],"Agriculture, agriculture operations and related sciences (except cannabis) [1.c]"
International agriculture [1.07],"Agriculture, agriculture operations and related sciences (except cannabis) [1.c]"
Animal sciences [1.09],"Agriculture, agriculture operations and related sciences (except cannabis) [1.c]"
Food science and technology [1.10],"Agriculture, agriculture operations and related sciences (except cannabis) [1.c]"
Plant sciences (except cannabis) [1.11c],"Agriculture, agriculture operations and related sciences (except cannabis) [1.c]"
Soil sciences [1.12],"Agriculture, agriculture operations and related sciences (except cannabis) [1.c]"
"Agriculture, agriculture operations and related sciences, other [1.99]","Agriculture, agriculture operations and related sciences (except cannabis) [1.c]"
Natural resources and conservation [3],Natural resources and conservation [3]
Natural resources conservation and research [3.01],Natural resources and conservation [3]
Natural resources management and policy [3.02],Natural resources and conservation [3]
Fishing and fisheries sciences and management [3.03],Natural resources and conservation [3]
Forestry [3.05],Natural resources and conservation [3]
Wildlife and wildlands science and management [3.06],Natural resources and conservation [3]
Architecture and related services [4],Architecture and related services [4]
"Architecture (BArch, BA, BS, BSc, MArch, MA, MS, MSc, PhD) [4.02]",Architecture and related services [4]
"City/urban, community and regional planning [4.03]",Architecture and related services [4]
Environmental design/architecture [4.04],Architecture and related services [4]
"Landscape architecture (BS, BSc, BSLA, BLA, MSLA, MLA, PhD) [4.06]",Architecture and related services [4]
Architectural history and criticism [4.08],Architecture and related services [4]
"Area, ethnic, cultural, gender, and group studies [5]","Area, ethnic, cultural, gender, and group studies [5]"
Area studies [5.01],"Area, ethnic, cultural, gender, and group studies [5]"
